id,x_survey,y_survey,E,N,lon,lat
R_1_63,294.627825494395,3090.54015928708,824448.7098252,478998.422815899,-72.0772414765597,4.32791270081899
R_1_64,294.627825494395,3139.59635229164,824448.7098252,479047.479008904,-72.0772397752662,4.32835592104888
R_1_65,294.627825494395,3188.6525452962,824448.7098252,479096.535201908,-72.0772380737968,4.32879914127293
R_1_66,294.627825494395,3237.70873830075,824448.7098252,479145.591394913,-72.0772363721516,4.32924236149113
R_1_67,294.627825494395,3286.76493130531,824448.7098252,479194.647587917,-72.0772346703305,4.32968558170348
R_1_68,294.627825494395,3335.82112430987,824448.7098252,479243.703780922,-72.0772329683335,4.33012880190998
R_1_69,294.627825494395,3384.87731731443,824448.7098252,479292.759973927,-72.0772312661607,4.33057202211062
R_1_70,294.627825494395,3433.93351031898,824448.7098252,479341.816166931,-72.077229563812,4.33101524230541
R_1_71,294.627825494395,3482.98970332354,824448.7098252,479390.872359936,-72.0772278612874,4.33145846249435
R_1_72,294.627825494395,3532.0458963281,824448.7098252,479439.92855294,-72.0772261585869,4.33190168267744
R_1_73,294.627825494395,3581.10208933265,824448.7098252,479488.984745945,-72.0772244557106,4.33234490285467
R_1_74,294.627825494395,3630.15828233721,824448.7098252,479538.040938949,-72.0772227526584,4.33278812302604
R_1_75,294.627825494395,3679.21447534177,824448.7098252,479587.097131954,-72.0772210494304,4.33323134319156
R_1_76,294.627825494395,3728.27066834632,824448.7098252,479636.153324959,-72.0772193460264,4.33367456335123
R_1_77,294.627825494395,3777.32686135088,824448.7098252,479685.209517963,-72.0772176424466,4.33411778350503
R_1_78,294.627825494395,3826.38305435544,824448.7098252,479734.265710968,-72.0772159386909,4.33456100365298
R_1_79,294.627825494395,3875.43924735999,824448.7098252,479783.321903972,-72.0772142347593,4.33500422379507
R_1_80,294.627825494395,3924.49544036455,824448.7098252,479832.378096977,-72.0772125306519,4.33544744393131
R_1_81,294.627825494395,3973.55163336911,824448.7098252,479881.434289981,-72.0772108263686,4.33589066406168
R_1_82,294.627825494395,4022.60782637367,824448.7098252,479930.490482986,-72.0772091219094,4.3363338841862
