id,E,N,lon,lat
R_1_112,824448.709825197,481402.1762731222,-72.0771579063487,4.3496304851939
R_1_113,824448.709825195,481451.2324661269,-72.07715619643712,4.350073705136468
R_1_114,824448.7098251965,481500.2886591318,-72.0771544863496,4.350516925073159
R_1_115,824448.7098251971,481549.3448521365,-72.0771527760862,4.350960145003969
R_1_116,824448.7098251982,481598.4010451411,-72.0771510656469,4.3514033649289
R_1_117,824448.709825201,481647.4572381457,-72.0771493550317,4.35184658484795
R_1_118,824448.7098252041,481696.5134311496,-72.0771476442406,4.352289804761109
R_1_119,824448.7098251961,481745.5696241545,-72.0771459332737,4.3527330246683995
R_1_120,824448.7098251998,481794.6258171587,-72.0771442221308,4.3531762445698
R_1_121,824448.7098251936,481843.68201016315,-72.0771425108121,4.353619464465319
R_1_122,824448.7098251975,481892.73820316815,-72.0771407993174,4.354062684354959
R_1_123,824448.7098252027,481941.79439617245,-72.0771390876468,4.354505904238709
R_1_124,824448.7098251968,481990.85058917716,-72.0771373758004,4.35494912411658
R_1_125,824448.7098252033,482039.90678218135,-72.077135663778,4.35539234398856
R_1_126,824448.7098251984,482088.96297518624,-72.0771339515798,4.355835563854661
R_1_127,824448.7098252033,482138.0191681909,-72.0771322392056,4.3562787837148695
R_1_128,824448.7098251996,482187.07536119514,-72.0771305266556,4.356722003569191
R_1_129,824448.7098251926,482236.13155420014,-72.0771288139297,4.3571652234176295
R_1_130,824448.7098251993,482285.1877472041,-72.0771271010278,4.357608443260171
R_1_131,824448.709825193,482334.2439402086,-72.0771253879501,4.358051663096829
R_1_132,824448.7098251989,482383.30013321346,-72.0771236746964,4.358494882927601
R_1_133,824448.7098252042,482432.3563262181,-72.0771219612668,4.35893810275248
R_1_134,824448.7098251977,482481.41251922294,-72.0771202476614,4.359381322571468
R_1_135,824448.7098252033,482530.4687122267,-72.07711853388,4.359824542384559
R_1_136,824448.7098251969,482579.52490523196,-72.0771168199228,4.3602677621917705
R_1_137,824448.7098251996,482628.58109823643,-72.0771151057896,4.36071098199308
R_1_138,824448.7098252028,482677.63729124103,-72.0771133914805,4.361154201788499
R_1_139,824448.709825194,482726.693484245,-72.0771116769956,4.361597421578019
R_1_140,824448.7098251955,482775.7496772505,-72.0771099623347,4.362040641361659
R_1_141,824448.7098251974,482824.8058702544,-72.0771082474979,4.362483861139389
R_1_142,824448.7098251968,482873.8620632587,-72.0771065324852,4.362927080911228
R_1_143,824448.7098251982,482922.918256264,-72.0771048172966,4.363370300677178
R_1_144,824448.7098251968,482971.9744492678,-72.0771031019321,4.363813520437219
R_1_145,824448.7098252054,483021.03064227354,-72.0771013863916,4.364256740191381
R_1_146,824448.709825203,483070.08683527773,-72.0770996706753,4.364699959939629
R_1_147,824448.7098251979,483119.14302828175,-72.0770979547831,4.36514317968198
R_1_148,824448.709825204,483168.1992212868,-72.0770962387149,4.365586399418438
